Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Jalisco,1,"$3,162,000
MXN","Casa en venta disponible en Calle Volcán Jorullo 5451, int.3, Colli Urbano, Zapopan, Jalisco. C.P 45070, Col. La Calma, Zapopan, Jalisco, México, C.P. 45070, ID: 29952295",4 Recámaras | 2 Baños | 122 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-volcan-jorullo-5451-int3-colli-urbano-zapopan-jalisco-cp-45070-la-calma-jalisco-29952295#tipos=casas-venta&area=jalisco&pos=1
Jalisco,1,"$1,679,210
MXN","Casa disponible en venta en 1o. de Mayo Ote. 301, Las villas, 45615 Santa Cruz del Valle, Jal., Col. López Cotilla, San Pedro Tlaquepaque, Jalisco, México, C.P. 45615, ID: 30334086",3 Recámaras | 2 Baños | 76 m 2,https://propiedades.com/inmuebles/casa-en-venta-1o-de-mayo-ote-301-las-villas-45615-santa-cruz-del-valle-jal-lopez-cotilla-jalisco-30334086#tipos=casas-venta&area=jalisco&pos=2
Jalisco,1,"$4,205,000
MXN","Casa en venta disponible en Circuito Valle de San Isidro 440, Int 28, Villas de Zapopan, Zapopan Jalisco, C.p 45133, Col. Villas Del Mirador, Zapopan, Jalisco, México, C.P. 45133, ID: 30096103",2 Recámaras | 2 Baños | 115 m 2,https://propiedades.com/inmuebles/casa-en-venta-circuito-valle-de-san-isidro-440-int-28-villas-de-zapopan-zapopan-jalisco-cp-45133-villas-del-mirador-jalisco-30096103#tipos=casas-venta&area=jalisco&pos=3
Jalisco,1,"$799,000
MXN","Venta casa en Meteorito 46 interior 7B, Real del Sol, Tlajomulco de Zúñiga, C.P. 45654, Col. Real del Sol, Tlajomulco de Zúñiga, Jalisco, México, C.P. 45654, ID: 28783925",2 Recámaras | 1 Baño | 51 m 2,https://propiedades.com/inmuebles/casa-en-venta-meteorito-46-interior-7b-real-del-sol-tlajomulco-de-zuniga-cp-45654-real-del-sol-jalisco-28783925#tipos=casas-venta&area=jalisco&pos=4
Jalisco,1,"$2,377,000
MXN","Casa en venta disponible en Prolongación Angel Leaño 445, int. 64, Parques Zapopan, Zapopan, Jalisco C.P. 45138, Col. Militar Zapopan, Zapopan, Jalisco, México, C.P. 45138, ID: 29739108",3 Recámaras | 1 Baño | 124 m 2,https://propiedades.com/inmuebles/casa-en-venta-prolongacion-angel-leano-445-int-64--parques-zapopan--zapopan-jalisco-cp-45138-militar-zapopan-jalisco-29739108#tipos=casas-venta&area=jalisco&pos=5
Jalisco,1,"$2,175,530
MXN","Av. Primero de Mayo 301 Santa Cruz del Valle, 45615 Guadalajara, Jal., Col. Parques Santa Cruz Del Valle, San Pedro Tlaquepaque, Jalisco, México, C.P. 45615, ID: 30334124",2 Recámaras | 1 Baño | 75 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-primero-de-mayo-301-santa-cruz-del-valle-45615-guadalajara-jal-parques-santa-cruz-del-valle-jalisco-30334124#tipos=casas-venta&area=jalisco&pos=6
Jalisco,1,"$671,000
MXN","Se vende casa en C. España 418, Lt 10, Mz 134, Villas Andalucía, Juanacatlán, Jal, C.P. 45887., Col. Villas Andalucía, Juanacatlán, Jalisco, México, C.P. 45887, ID: 29311651",2 Recámaras | 1 Baño | 47 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-espana-418-lt-10-mz-134-villas-andalucia-juanacatlan-jal-cp-45887-villas-andalucia-jalisco-29311651#tipos=casas-venta&area=jalisco&pos=7
Jalisco,1,"$550,000
MXN","Valle de Magnolia 198 115-D, Valle de los Encinos, Tlajomulco de Zúñiga, Jalisco, C.P. 45650, Col. Valle de Los Encinos, Tlajomulco de Zúñiga, Jalisco, México, C.P. 45650, ID: 30100862",2 Recámaras | 1 Baño | 50 m 2,https://propiedades.com/inmuebles/casa-en-venta-valle-de-magnolia-198-115d-valle-de-los-encinos-tlajomulco-de-zuniga-jalisco-cp-45650-valle-de-los-encinos-jalisco-30100862#tipos=casas-venta&area=jalisco&pos=8
Jalisco,1,"$1,807,440
MXN","Avenida Amaranto 175, C. Los pinos 93, Amaranto Residencial, Tesistan, Zapopan, Jalisco. C.P. 45200, Col. Real de Tesistán, Zapopan, Jalisco, México, C.P. 45200, ID: 30157768",3 Recámaras | 2 Baños | 91 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-amaranto-175-c-los-pinos-93--amaranto-residencial-tesistan-zapopan-jalisco-cp-45200-real-de-tesistan-jalisco-30157768#tipos=casas-venta&area=jalisco&pos=9
Jalisco,1,"$907,000
MXN","Casa en venta disponible en Carretera a Unión del Cuatro S/N, Jardines de la Cruz Oriente, C.P. 45650, Tlajomulco de Zuñiga, Col. El Ojo de Agua, Tlajomulco de Zúñiga, Jalisco, México, C.P. 45650, ID: 29708361",2 Recámaras | 1 Baño | 50 m 2,https://propiedades.com/inmuebles/casa-en-venta-carretera-a-union-del-cuatro-sn-jardines-de-la-cruz-oriente-cp-45650-tlajomulco-de-zuniga-el-ojo-de-agua-jalisco-29708361#tipos=casas-venta&area=jalisco&pos=10
